muizza@muizza-ThinkPad-T14s-Gen-1:~/Desktop/AdvCompSys/proj2$ ./proj2.o
Matrix multiplication took 349.393185383000 seconds for 5000 dim, 0.01 sparsity, 8 threads, 1 SIMD, 1 block
Matrix multiplication took 1260.623710950000 seconds for 5000 dim, 0.05 sparsity, 1 threads, 0 SIMD, 0 block
Matrix multiplication took 1437.546045038001 seconds for 5000 dim, 0.05 sparsity, 1 threads, 0 SIMD, 1 block
Matrix multiplication took 1461.096923593999 seconds for 5000 dim, 0.05 sparsity, 1 threads, 1 SIMD, 0 block
Matrix multiplication took 1272.206316912998 seconds for 5000 dim, 0.05 sparsity, 1 threads, 1 SIMD, 1 block
Matrix multiplication took 314.620406857997 seconds for 5000 dim, 0.05 sparsity, 8 threads, 0 SIMD, 0 block
Matrix multiplication took 461.149216300000 seconds for 5000 dim, 0.05 sparsity, 8 threads, 0 SIMD, 1 block
Matrix multiplication took 512.667903516005 seconds for 5000 dim, 0.05 sparsity, 8 threads, 1 SIMD, 0 block
Matrix multiplication took 404.596421901995 seconds for 5000 dim, 0.05 sparsity, 8 threads, 1 SIMD, 1 block
Matrix multiplication took 1227.675405863003 seconds for 5000 dim, 0.10 sparsity, 1 threads, 0 SIMD, 0 block
Matrix multiplication took 1272.264085880000 seconds for 5000 dim, 0.10 sparsity, 1 threads, 0 SIMD, 1 block
Matrix multiplication took 1318.550882937001 seconds for 5000 dim, 0.10 sparsity, 1 threads, 1 SIMD, 0 block
Matrix multiplication took 1196.175789146000 seconds for 5000 dim, 0.10 sparsity, 1 threads, 1 SIMD, 1 block
Matrix multiplication took 262.205901317000 seconds for 5000 dim, 0.10 sparsity, 8 threads, 0 SIMD, 0 block
Matrix multiplication took 371.058602552999 seconds for 5000 dim, 0.10 sparsity, 8 threads, 0 SIMD, 1 block
Matrix multiplication took 308.814984587996 seconds for 5000 dim, 0.10 sparsity, 8 threads, 1 SIMD, 0 block
Matrix multiplication took 306.454817149999 seconds for 5000 dim, 0.10 sparsity, 8 threads, 1 SIMD, 1 block
